Product_ID,Model,MAE,RMSE
P0001,Prophet,204.47088786573804,252.12218879552137
P0001,ARIMA,194.27016139083344,235.67790290816518
P0001,LSTM,196.19864327566964,236.22978621595877
P0002,Prophet,177.91305595914383,225.47799196198875
P0002,ARIMA,193.51121824591146,239.47153831405913
P0002,LSTM,174.10437717567495,220.0982024404925
P0003,Prophet,210.04674942000173,258.046904313879
P0003,ARIMA,217.06076957574365,277.21244210769413
P0003,LSTM,200.9217753507653,248.81272550453383
P0004,Prophet,179.9364895475989,230.71570920826005
P0004,ARIMA,185.71985011713315,241.0489543160146
P0004,LSTM,185.91717072571217,234.29691680909232
P0005,Prophet,201.2181647131523,240.0145834903665
P0005,ARIMA,273.695718837277,324.25761801725247
P0005,LSTM,196.55013768202593,234.2817328115442
P0006,Prophet,200.40732991348315,251.20856865793206
P0006,ARIMA,234.44849313222844,287.44360037528185
P0006,LSTM,198.93556140718005,251.66003255167203
P0007,Prophet,180.37166850412493,233.73295374919223
P0007,ARIMA,218.49526821929516,266.29941291282455
P0007,LSTM,177.33224757188032,225.0896164180744
P0008,Prophet,221.98432191861784,265.5532057120971
P0008,ARIMA,210.58082805294362,251.35807384419184
P0008,LSTM,212.03046858391795,255.1505394252566
P0009,Prophet,200.51973336223588,245.21932256193926
P0009,ARIMA,198.15663059196547,243.6908271927433
P0009,LSTM,196.67313929966517,241.7731627879581
P0010,Prophet,222.33095548061132,266.7922280329043
P0010,ARIMA,240.68996594118912,290.65110169989504
P0010,LSTM,211.99182378029337,259.45006044080736
P0011,Prophet,205.0906056367749,261.1597665599365
P0011,ARIMA,221.8192603111855,278.82881023444736
P0011,LSTM,203.0995832170759,254.1228590049322
P0012,Prophet,209.84300119029768,263.1270685421
P0012,ARIMA,199.7690037407804,266.1121321994041
P0012,LSTM,201.24825904482887,252.0188004583437
P0013,Prophet,209.4753650052831,244.07715097189114
P0013,ARIMA,190.33249525444197,227.46943479863154
P0013,LSTM,197.58040447624361,233.85611600209413
P0014,Prophet,199.17025989399698,239.29339839381004
P0014,ARIMA,191.66656822732665,230.83493726821692
P0014,LSTM,190.74904710419324,234.32701066846505
P0015,Prophet,204.33630762088194,259.49212296076234
P0015,ARIMA,240.8263520787543,301.4528616051764
P0015,LSTM,189.22476756816008,239.43302148958048
P0016,Prophet,197.8123516234199,246.25499236671521
P0016,ARIMA,317.23596859814194,371.06735164958593
P0016,LSTM,192.68436561636372,246.18382032078102
P0017,Prophet,189.32315082798442,240.9823666794381
P0017,ARIMA,247.55825958707155,294.8419536194442
P0017,LSTM,181.8774301957111,233.46713781129301
P0018,Prophet,202.9193053546679,252.21360108034202
P0018,ARIMA,197.79841729386638,244.12910383500738
P0018,LSTM,197.31743014588648,244.18992443845406
P0019,Prophet,220.29864636716889,274.46933814265475
P0019,ARIMA,215.45622156975924,270.8940330034996
P0019,LSTM,215.03180471407313,266.7493214187594
P0020,Prophet,177.6688377794845,222.71235803449326
P0020,ARIMA,179.6304495345118,219.09632508215213
P0020,LSTM,176.97575824763499,216.0812895841759
